mode,rho,out_rate,Stot,Strue,Sdir,Sint,Itrue,Idir,Iint,phi_direct,phi_int,nll_direct,nll_int,nll_true,nll_gap
binary,0.0,0.1499439924955368,0.6097002029418945,0.1991155743598938,0.591450035572052,0.19874367117881775,0.41058462858200073,0.01825016736984253,0.4109565317630768,0.04444922215639561,1.0009057893432602,0.5905482769012451,0.19719325006008148,0.1971016228199005,0.39335502684116364
binary,0.1,0.15001100301742554,0.6098678112030029,0.18838921189308167,0.5645591616630554,0.1877911537885666,0.42147859930992126,0.04530864953994751,0.42207665741443634,0.1074992884908759,1.001418952481797,0.5643224716186523,0.18873637914657593,0.188678577542305,0.3755860924720764
binary,0.2,0.15059100091457367,0.6113173365592957,0.17785491049289703,0.5351371169090271,0.17726990580558777,0.4334624260663986,0.07618021965026855,0.4340474307537079,0.17574815040277358,1.0013496087599059,0.5349791049957275,0.17765100300312042,0.17754969000816345,0.3573281019926071
binary,0.3,0.1504179984331131,0.6108853816986084,0.16678676009178162,0.5013135075569153,0.16727592051029205,0.4440986216068268,0.10957187414169312,0.44360946118831635,0.24672869675938836,0.9988985320045791,0.5009415149688721,0.16742278635501862,0.1673506498336792,0.33351872861385345
binary,0.5,0.1499049961566925,0.6096024513244629,0.13655367493629456,0.4130121171474457,0.13639076054096222,0.47304877638816833,0.1965903341770172,0.47321169078350067,0.41558152983298624,1.0003443923829087,0.4110642969608307,0.1363505870103836,0.1362505406141281,0.2747137099504471
binary,0.7,0.15017999708652496,0.61029052734375,0.09440533071756363,0.2946280241012573,0.09352109581232071,0.5158851966261864,0.3156625032424927,0.5167694315314293,0.6118851738853512,1.0017140148835937,0.2948782742023468,0.09445381909608841,0.09437841922044754,0.2004244551062584
binary,0.9,0.15043999254703522,0.6109402775764465,0.03223478049039841,0.12619483470916748,0.03230351209640503,0.5787054970860481,0.48474544286727905,0.5786367654800415,0.8376375294655304,0.9998812321528779,0.12561355531215668,0.03241898864507675,0.03227119892835617,0.09319456666707993
gaussian,0.0,0.1499210000038147,0.6096426248550415,0.03325996175408363,0.6097540855407715,0.03316840901970863,0.5763826631009579,-0.00011146068572998047,0.5764742158353329,-0.00019337966400709953,1.0001588401946069,0.6096527576446533,0.03299594670534134,0.03285752236843109,0.576656810939312
gaussian,0.1,0.15051400661468506,0.611125111579895,0.03228988125920296,0.6096513271331787,0.03218092396855354,0.5788352303206921,0.0014737844467163086,0.5789441876113415,0.002546120846686868,1.0001882354164744,0.6111549735069275,0.03238139674067497,0.03231331333518028,0.5787735767662525
gaussian,0.2,0.15040799975395203,0.6108604073524475,0.02992943860590458,0.6099005937576294,0.029975200071930885,0.5809309687465429,0.0009598135948181152,0.5808852072805166,0.0016521990502401272,0.9999212273600682,0.6108881235122681,0.030292613431811333,0.030172785744071007,0.5805955100804567
gaussian,0.3,0.1506190001964569,0.6113871932029724,0.02710057608783245,0.60976642370224,0.027056019753217697,0.58428661711514,0.0016207695007324219,0.5843311734497547,0.0027739288446050987,1.0000762576675721,0.6114292740821838,0.02732963301241398,0.027228113263845444,0.5840996410697699
gaussian,0.5,0.15104299783706665,0.6124442219734192,0.020867081359028816,0.6097055673599243,0.020961659029126167,0.5915771406143904,0.002738654613494873,0.591482562944293,0.004629412506795997,0.9998401262259743,0.6124772429466248,0.02118254266679287,0.021107099950313568,0.5912947002798319
gaussian,0.7,0.1782120019197464,0.6761499047279358,0.020173199474811554,0.6771832704544067,0.0202043354511261,0.6559767052531242,-0.0010333657264709473,0.6559455692768097,-0.001575308571471602,0.9999525349359738,0.6761640310287476,0.020299354568123817,0.02019878476858139,0.6558646764606237
gaussian,0.9,0.21832500398159027,0.7570972442626953,0.021155277267098427,0.755855143070221,0.0212386641651392,0.7359419669955969,0.0012421011924743652,0.7358585800975561,0.001687770569118525,0.9998866936500698,0.7571125030517578,0.021156758069992065,0.021051254123449326,0.7359557449817657
uniform,0.0,0.15035900473594666,0.6107379794120789,0.3380471169948578,0.6096422672271729,0.3375655710697174,0.27269086241722107,0.0010957121849060059,0.27317240834236145,0.00401814778534658,1.0017659041482792,0.6107558608055115,0.33817604184150696,0.33806249499320984,0.2725798189640045
uniform,0.1,0.15001800656318665,0.6098853349685669,0.33540529012680054,0.6092956066131592,0.33499956130981445,0.27448004484176636,0.0005897283554077148,0.27488577365875244,0.002148529069745979,1.0014781723648434,0.6099005937576294,0.3356851637363434,0.3356327414512634,0.274215430021286
uniform,0.2,0.15013200044631958,0.6101705431938171,0.3304870128631592,0.61006098985672,0.3310375511646271,0.27968353033065796,0.00010955333709716797,0.27913299202919006,0.0003917046419131213,0.9980315669613544,0.6101819276809692,0.32979050278663635,0.3296931982040405,0.2803914248943329
uniform,0.3,0.150518000125885,0.6111350655555725,0.3232603669166565,0.6104375720024109,0.3231731951236725,0.287874698638916,0.0006974935531616211,0.2879618704319,0.0024229067592928476,1.0003028115822479,0.6111587285995483,0.32307055592536926,0.3229963779449463,0.2880881726741791
uniform,0.5,0.15018299221992493,0.6102979779243469,0.30254051089286804,0.609834611415863,0.3031098544597626,0.3077574670314789,0.0004633665084838867,0.30718812346458435,0.0015056223101696227,0.9981500251727887,0.6103330254554749,0.3019125759601593,0.30178847908973694,0.30842044949531555
uniform,0.7,0.150067999958992,0.6100104451179504,0.2829834222793579,0.6085896492004395,0.28192222118377686,0.32702702283859253,0.0014207959175109863,0.3280882239341736,0.004344582613321941,1.0032449951272218,0.6100097894668579,0.2838803231716156,0.2837582528591156,0.3261294662952423
uniform,0.9,0.15015700459480286,0.6102330088615417,0.2828064262866974,0.6089627742767334,0.2819180488586426,0.32742658257484436,0.0012702345848083496,0.32831496000289917,0.0038794485616267726,1.0027132110687798,0.6102434396743774,0.28314292430877686,0.2829982042312622,0.3271005153656006
lognormal,0.0,0.15004399418830872,0.6099503636360168,0.04157975688576698,0.5691535472869873,0.041810475289821625,0.5683706067502499,0.04079681634902954,0.5681398883461952,0.07177854706859646,0.999594070486203,0.5698095560073853,0.04140565171837807,0.04128504544496536,0.5284039042890072
lognormal,0.1,0.14987200498580933,0.609519898891449,0.04091649875044823,0.5471967458724976,0.04056546464562416,0.5686034001410007,0.062323153018951416,0.5689544342458248,0.10960742233250222,1.0006173619516467,0.5469825267791748,0.04159975051879883,0.04150211811065674,0.505382776260376
lognormal,0.2,0.15039099752902985,0.6108178496360779,0.04236588254570961,0.5252028703689575,0.04196518659591675,0.5684519670903683,0.08561497926712036,0.5688526630401611,0.15061075380799926,1.0007048897233022,0.523616373538971,0.0422191321849823,0.042082443833351135,0.48139724135398865
lognormal,0.3,0.1506129950284958,0.6113722324371338,0.04459642618894577,0.502329409122467,0.04466354846954346,0.566775806248188,0.10904282331466675,0.5667086839675903,0.19239145727917237,0.9998815717257905,0.5055832266807556,0.04494180157780647,0.04484524950385094,0.46064142510294914
lognormal,0.5,0.15052799880504608,0.6111600399017334,0.05056179687380791,0.46563920378685,0.05035454034805298,0.5605982430279255,0.14552083611488342,0.5608054995536804,0.25958132749202084,1.0003697059852266,0.4653990566730499,0.05093877390027046,0.0508120059967041,0.41446028277277946
lognormal,0.7,0.14944100379943848,0.6084396243095398,0.053261592984199524,0.42724376916885376,0.053537555038928986,0.5551780313253403,0.18119585514068604,0.5549020692706108,0.326374324841581,0.9995029305210966,0.42771318554878235,0.053061213344335556,0.05291050300002098,0.3746519722044468
lognormal,0.9,0.15017199516296387,0.6102705597877502,0.051997195929288864,0.37417352199554443,0.05198173597455025,0.5582733638584614,0.2360970377922058,0.5582888238132,0.422905789666267,1.0000276924455642,0.3736652433872223,0.051916785538196564,0.051812514662742615,0.3217484578490257
half_normal,0.0,0.15105800330638885,0.6124816536903381,0.09217672049999237,0.6011531352996826,0.09173354506492615,0.5203049331903458,0.011328518390655518,0.520748108625412,0.021772844476396977,1.0008517609709153,0.6044510006904602,0.09212017059326172,0.09199987351894379,0.5123308300971985
half_normal,0.1,0.14952099323272705,0.6086403131484985,0.09127374738454819,0.5979764461517334,0.09106877446174622,0.5173665657639503,0.010663866996765137,0.5175715386867523,0.020611820906939995,1.0003961850965366,0.5972186326980591,0.09172548353672028,0.09160105139017105,0.5054931491613388
