generator,mode,rho,n,feature_idx,label,feat_type,is_true_pair,S_dir,lynn_metric
interaction,binary,0.5,1,267,x_8*x_24*,PRODUCT,True,0.5299766063690186,0.12942078173747462
interaction,binary,0.5,2,288,x_9*x_23*,PRODUCT,True,0.49019908905029297,0.1947623072229372
interaction,binary,0.5,3,471,x_20*x_30*,PRODUCT,True,0.4666360914707184,0.23346864966565337
interaction,binary,0.5,4,167,x_4*x_22*,PRODUCT,True,0.45079928636550903,0.2594833703959288
interaction,binary,0.5,5,106,x_2*x_16*,PRODUCT,True,0.4404526352882385,0.27647955343162556
interaction,binary,0.5,6,332,x_11*x_26*,PRODUCT,True,0.4327607750892639,0.2891147783803006
interaction,binary,0.5,7,391,x_14*x_31*,PRODUCT,True,0.42675721645355225,0.2989766728885874
interaction,binary,0.5,8,18,x_18,LINEAR,False,0.42079785466194153,0.30876596635463066
interaction,binary,0.5,9,209,x_6*x_13*,PRODUCT,True,0.41617077589035034,0.3163667520712103
interaction,binary,0.5,10,31,x_31,LINEAR,False,0.4120022654533386,0.32321425913842977
interaction,binary,0.5,11,305,x_10*x_19*,PRODUCT,True,0.4081336557865143,0.32956912676660904
interaction,binary,0.5,12,429,x_17*x_24*,PRODUCT,True,0.404369056224823,0.3357531396156717
interaction,binary,0.5,13,399,x_15*x_23*,PRODUCT,True,0.4010047912597656,0.3412795329094699
interaction,binary,0.5,14,482,x_21*x_31*,PRODUCT,True,0.3978250324726105,0.34650284255355146
interaction,binary,0.5,15,339,x_12*x_14*,PRODUCT,True,0.3949626386165619,0.351204824821469
interaction,binary,0.5,16,14,x_14,LINEAR,False,0.3915252387523651,0.3568513549714139
interaction,binary,0.5,17,12,x_12,LINEAR,False,0.3877805471420288,0.3630026655303763
interaction,binary,0.5,18,259,x_8*x_16*,PRODUCT,True,0.3851386606693268,0.36734242587546184
interaction,binary,0.5,19,386,x_14*x_26*,PRODUCT,True,0.3825840651988983,0.3715387954904521
interaction,binary,0.5,20,444,x_18*x_26*,PRODUCT,True,0.38056647777557373,0.3748530355166453
interaction,binary,0.5,21,446,x_18*x_28*,PRODUCT,True,0.37847745418548584,0.37828462193411133
interaction,binary,0.5,22,458,x_19*x_28*,PRODUCT,True,0.37623414397239685,0.38196965109985437
interaction,binary,0.5,23,257,x_8*x_14*,PRODUCT,True,0.37429675459861755,0.38515215181068857
interaction,binary,0.5,24,273,x_8*x_30*,PRODUCT,True,0.3719646632671356,0.388983019482732
interaction,binary,0.5,25,466,x_20*x_25*,PRODUCT,True,0.36944252252578735,0.393126076531975
interaction,binary,0.5,26,350,x_12*x_25*,PRODUCT,True,0.367048978805542,0.3970578904947171
interaction,binary,0.5,27,84,x_1*x_23*,PRODUCT,True,0.3652847707271576,0.3999559106549936
interaction,binary,0.5,28,499,x_23*x_31*,PRODUCT,True,0.36357444524765015,0.4027654192276933
interaction,binary,0.5,29,377,x_14*x_17*,PRODUCT,True,0.36187654733657837,0.40555451334684245
interaction,binary,0.5,30,331,x_11*x_25*,PRODUCT,True,0.3600581884384155,0.40854148569441256
interaction,binary,0.5,31,431,x_17*x_26*,PRODUCT,True,0.3580917418003082,0.4117717180412464
interaction,binary,0.5,32,128,x_3*x_10*,PRODUCT,True,0.3564126491546631,0.41452992122468707
interaction,binary,0.5,33,34,x_0*x_3*,PRODUCT,True,0.3543575704097748,0.41790574730020075
interaction,binary,0.5,34,10,x_10,LINEAR,False,0.35214555263519287,0.4215393731656365
interaction,binary,0.5,35,71,x_1*x_10*,PRODUCT,True,0.3500099182128906,0.4250475260227984
interaction,binary,0.5,36,57,x_0*x_26*,PRODUCT,True,0.34848475456237793,0.4275528739242513
interaction,binary,0.5,37,202,x_5*x_31*,PRODUCT,True,0.3469531536102295,0.4300687962189103
interaction,binary,0.5,38,199,x_5*x_28*,PRODUCT,True,0.34420710802078247,0.43457965612073296
interaction,binary,0.5,39,179,x_5*x_8*,PRODUCT,True,0.34260788559913635,0.4372066584995798
interaction,binary,0.5,40,181,x_5*x_10*,PRODUCT,True,0.3405943810939789,0.44051419161897093
interaction,binary,0.5,41,215,x_6*x_19*,PRODUCT,True,0.3388938307762146,0.44330764277976514
interaction,binary,0.5,42,221,x_6*x_25*,PRODUCT,True,0.3369690477848053,0.44646943530390415
interaction,binary,0.5,43,442,x_18*x_24*,PRODUCT,True,0.3352886736392975,0.4492297435748812
interaction,binary,0.5,44,183,x_5*x_12*,PRODUCT,True,0.33368319272994995,0.45186702661378947
interaction,binary,0.5,45,196,x_5*x_25*,PRODUCT,True,0.3319604694843292,0.45469690068451574
interaction,binary,0.5,46,208,x_6*x_12*,PRODUCT,True,0.3302740156650543,0.45746719588240964
interaction,binary,0.5,47,217,x_6*x_21*,PRODUCT,True,0.3284391462802887,0.46048128959033235
interaction,binary,0.5,48,439,x_18*x_21*,PRODUCT,True,0.3269042372703552,0.46300264594816665
interaction,binary,0.5,49,108,x_2*x_18*,PRODUCT,True,0.3251991271972656,0.4658035873041485
interaction,binary,0.5,50,121,x_2*x_31*,PRODUCT,True,0.3235953152179718,0.4684381288337071
interaction,binary,0.5,51,73,x_1*x_12*,PRODUCT,True,0.32205578684806824,0.47096707329777726
interaction,binary,0.5,52,211,x_6*x_15*,PRODUCT,True,0.3205512464046478,0.4734385439765515
interaction,binary,0.5,53,37,x_0*x_6*,PRODUCT,True,0.3190937936306,0.47583266492724424
interaction,binary,0.5,54,393,x_15*x_17*,PRODUCT,True,0.31761956214904785,0.4782543478380066
interaction,binary,0.5,55,303,x_10*x_17*,PRODUCT,True,0.3157811164855957,0.48127431620882155
interaction,binary,0.5,56,382,x_14*x_22*,PRODUCT,True,0.3142901659011841,0.48372346316860515
interaction,binary,0.5,57,279,x_9*x_14*,PRODUCT,True,0.3127122223377228,0.4863155113032431
interaction,binary,0.5,58,286,x_9*x_21*,PRODUCT,True,0.31039902567863464,0.4901153411730057
interaction,binary,0.5,59,473,x_21*x_22*,PRODUCT,True,0.308483362197876,0.4932621533067694
interaction,binary,0.5,60,235,x_7*x_15*,PRODUCT,True,0.3070335388183594,0.49564374164329206
interaction,binary,0.5,61,230,x_7*x_10*,PRODUCT,True,0.30520015954971313,0.49865538757500966
interaction,binary,0.5,62,394,x_15*x_18*,PRODUCT,True,0.303592324256897,0.501296538100322
interaction,binary,0.5,63,365,x_13*x_22*,PRODUCT,True,0.3020796477794647,0.5037813736371761
interaction,binary,0.5,64,233,x_7*x_13*,PRODUCT,True,0.300245076417923,0.5067949777898578
interaction,binary,0.5,65,229,x_7*x_9*,PRODUCT,True,0.29847609996795654,0.5097008308339906
interaction,binary,0.5,66,491,x_22*x_31*,PRODUCT,True,0.2968330383300781,0.5123998467887918
interaction,binary,0.5,67,356,x_12*x_31*,PRODUCT,True,0.29522332549095154,0.5150440815121226
interaction,binary,0.5,68,304,x_10*x_18*,PRODUCT,True,0.29368337988853455,0.5175737113535301
interaction,binary,0.5,69,441,x_18*x_23*,PRODUCT,True,0.29212409257888794,0.5201351133300801
interaction,binary,0.5,70,136,x_3*x_18*,PRODUCT,True,0.29042738676071167,0.5229222492282651
interaction,binary,0.5,71,135,x_3*x_17*,PRODUCT,True,0.28835588693618774,0.5263250497975591
interaction,binary,0.5,72,497,x_23*x_29*,PRODUCT,True,0.2867203950881958,0.5290116310492383
interaction,binary,0.5,73,489,x_22*x_29*,PRODUCT,True,0.28454095125198364,0.5325917485268303
interaction,binary,0.5,74,150,x_4*x_5*,PRODUCT,True,0.28283271193504333,0.5353978302128429
interaction,binary,0.5,75,154,x_4*x_9*,PRODUCT,True,0.2807091772556305,0.5388861071272194
interaction,binary,0.5,76,241,x_7*x_21*,PRODUCT,True,0.2790828347206116,0.5415576590329991
interaction,binary,0.5,77,238,x_7*x_18*,PRODUCT,True,0.27713900804519653,0.5447507341370394
interaction,binary,0.5,78,77,x_1*x_16*,PRODUCT,True,0.2754920423030853,0.547456163265498
interaction,binary,0.5,79,422,x_16*x_31*,PRODUCT,True,0.2733343541622162,0.5510005432104954
interaction,binary,0.5,80,341,x_12*x_16*,PRODUCT,True,0.2715012729167938,0.554011699586972
interaction,binary,0.5,81,281,x_9*x_16*,PRODUCT,True,0.2696562707424164,0.5570424381730895
