mode,rho,n,feature_idx,label,feat_type,is_true_pair,S_dir,lynn_metric
binary,0.5,1,267,x_8*x_24*,PRODUCT,True,0.5299766063690186,0.12942078173747462
binary,0.5,2,288,x_9*x_23*,PRODUCT,True,0.49019908905029297,0.1947623072229372
binary,0.5,3,471,x_20*x_30*,PRODUCT,True,0.4666360914707184,0.23346864966565337
binary,0.5,4,167,x_4*x_22*,PRODUCT,True,0.45079928636550903,0.2594833703959288
binary,0.5,5,106,x_2*x_16*,PRODUCT,True,0.4404526352882385,0.27647955343162556
binary,0.5,6,332,x_11*x_26*,PRODUCT,True,0.4327607750892639,0.2891147783803006
binary,0.5,7,391,x_14*x_31*,PRODUCT,True,0.42675721645355225,0.2989766728885874
binary,0.5,8,18,x_18,LINEAR,False,0.42079785466194153,0.30876596635463066
binary,0.5,9,209,x_6*x_13*,PRODUCT,True,0.41617077589035034,0.3163667520712103
binary,0.5,10,31,x_31,LINEAR,False,0.4120022654533386,0.32321425913842977
binary,0.5,11,305,x_10*x_19*,PRODUCT,True,0.4081336557865143,0.32956912676660904
binary,0.5,12,429,x_17*x_24*,PRODUCT,True,0.404369056224823,0.3357531396156717
binary,0.5,13,399,x_15*x_23*,PRODUCT,True,0.4010047912597656,0.3412795329094699
binary,0.5,14,482,x_21*x_31*,PRODUCT,True,0.3978250324726105,0.34650284255355146
binary,0.5,15,339,x_12*x_14*,PRODUCT,True,0.3949626386165619,0.351204824821469
binary,0.5,16,14,x_14,LINEAR,False,0.3915252387523651,0.3568513549714139
binary,0.5,17,12,x_12,LINEAR,False,0.3877805471420288,0.3630026655303763
binary,0.5,18,259,x_8*x_16*,PRODUCT,True,0.3851386606693268,0.36734242587546184
binary,0.5,19,386,x_14*x_26*,PRODUCT,True,0.3825840651988983,0.3715387954904521
binary,0.5,20,444,x_18*x_26*,PRODUCT,True,0.38056647777557373,0.3748530355166453
binary,0.5,21,446,x_18*x_28*,PRODUCT,True,0.37847745418548584,0.37828462193411133
binary,0.5,22,458,x_19*x_28*,PRODUCT,True,0.37623414397239685,0.38196965109985437
binary,0.5,23,257,x_8*x_14*,PRODUCT,True,0.37429675459861755,0.38515215181068857
binary,0.5,24,273,x_8*x_30*,PRODUCT,True,0.3719646632671356,0.388983019482732
binary,0.5,25,466,x_20*x_25*,PRODUCT,True,0.36944252252578735,0.393126076531975
binary,0.5,26,350,x_12*x_25*,PRODUCT,True,0.367048978805542,0.3970578904947171
binary,0.5,27,84,x_1*x_23*,PRODUCT,True,0.3652847707271576,0.3999559106549936
binary,0.5,28,499,x_23*x_31*,PRODUCT,True,0.36357444524765015,0.4027654192276933
binary,0.5,29,377,x_14*x_17*,PRODUCT,True,0.36187654733657837,0.40555451334684245
binary,0.5,30,331,x_11*x_25*,PRODUCT,True,0.3600581884384155,0.40854148569441256
gaussian,0.5,1,267,x_8*x_24*,PRODUCT,True,0.44855421781539917,0.2653463287773134
gaussian,0.5,2,498,x_23*x_30,PRODUCT,False,0.38567858934402466,0.36832565536105993
gaussian,0.5,3,411,x_16*x_20,PRODUCT,False,0.3539879620075226,0.42022938247235586
gaussian,0.5,4,328,x_11*x_22,PRODUCT,False,0.3345526456832886,0.45206104500472977
gaussian,0.5,5,300,x_10*x_14,PRODUCT,False,0.31410402059555054,0.48555233077466003
gaussian,0.5,6,108,x_2*x_18*,PRODUCT,True,0.2959275245666504,0.5153222649481285
gaussian,0.5,7,431,x_17*x_26*,PRODUCT,True,0.2829204499721527,0.5366255873185084
gaussian,0.5,8,339,x_12*x_14*,PRODUCT,True,0.27379971742630005,0.5515637584089171
gaussian,0.5,9,278,x_9*x_13,PRODUCT,False,0.2644764482975006,0.5668336491405845
gaussian,0.5,10,168,x_4*x_23*,PRODUCT,True,0.2575537860393524,0.5781717640007068
gaussian,0.5,11,482,x_21*x_31*,PRODUCT,True,0.25087738037109375,0.5891065534641664
gaussian,0.5,12,305,x_10*x_19*,PRODUCT,True,0.24544569849967957,0.5980027021776545
gaussian,0.5,13,221,x_6*x_25*,PRODUCT,True,0.23969249427318573,0.6074254484999888
gaussian,0.5,14,388,x_14*x_28,PRODUCT,False,0.23421745002269745,0.6163926172367304
gaussian,0.5,15,91,x_1*x_30*,PRODUCT,True,0.22928079962730408,0.6244779906263331
gaussian,0.5,16,400,x_15*x_24,PRODUCT,False,0.22552773356437683,0.6306248590582013
gaussian,0.5,17,259,x_8*x_16*,PRODUCT,True,0.222102090716362,0.6362354653007393
gaussian,0.5,18,465,x_20*x_24,PRODUCT,False,0.21787019073963165,0.6431665802711745
gaussian,0.5,19,319,x_11*x_13*,PRODUCT,True,0.2154453843832016,0.6471379906849064
gaussian,0.5,20,288,x_9*x_23*,PRODUCT,True,0.21214734017848969,0.6525396125772313
gaussian,0.5,21,167,x_4*x_22*,PRODUCT,True,0.20892246067523956,0.6578214034337571
gaussian,0.5,22,128,x_3*x_10*,PRODUCT,True,0.20619533956050873,0.6622879527587496
gaussian,0.5,23,391,x_14*x_31*,PRODUCT,True,0.20326058566570282,0.667094568408146
gaussian,0.5,24,241,x_7*x_21*,PRODUCT,True,0.20059911906719208,0.6714535870725009
gaussian,0.5,25,51,x_0*x_20*,PRODUCT,True,0.1980564445257187,0.67561804504085
gaussian,0.5,26,442,x_18*x_24*,PRODUCT,True,0.19603152573108673,0.6789345092882476
gaussian,0.5,27,112,x_2*x_22*,PRODUCT,True,0.1936163604259491,0.6828901293394211
gaussian,0.5,28,273,x_8*x_30*,PRODUCT,True,0.1908828467130661,0.6873671486266045
gaussian,0.5,29,446,x_18*x_28*,PRODUCT,True,0.18875886499881744,0.6908458606797031
gaussian,0.5,30,459,x_19*x_29*,PRODUCT,True,0.1866665780544281,0.6942726622209596
uniform,0.5,1,267,x_8*x_24*,PRODUCT,True,0.5998607873916626,0.019237056801157504
uniform,0.5,2,8,x_8,LINEAR,False,0.57535320520401,0.059306567831482526
uniform,0.5,3,24,x_24,LINEAR,False,0.5070072412490845,0.17105114286140294
uniform,0.5,4,492,x_23*x_24,PRODUCT,False,0.4995397627353668,0.18326035266361984
uniform,0.5,5,23,x_23,LINEAR,False,0.483979195356369,0.20870163534327163
uniform,0.5,6,273,x_8*x_30*,PRODUCT,True,0.47816213965415955,0.21821242983286968
uniform,0.5,7,30,x_30,LINEAR,False,0.4647781252861023,0.24009508260720547
uniform,0.5,8,106,x_2*x_16*,PRODUCT,True,0.46155333518981934,0.24536756364364956
uniform,0.5,9,16,x_16,LINEAR,False,0.45831575989723206,0.25066094827476154
uniform,0.5,10,2,x_2,LINEAR,False,0.4483337104320526,0.2669814419933044
uniform,0.5,11,257,x_8*x_14*,PRODUCT,True,0.4459935426712036,0.270807579438776
uniform,0.5,12,14,x_14,LINEAR,False,0.44104382395744324,0.27890029160758195
uniform,0.5,13,441,x_18*x_23*,PRODUCT,True,0.4383971691131592,0.2832275306091483
uniform,0.5,14,18,x_18,LINEAR,False,0.4319671094417572,0.2937405769372638
uniform,0.5,15,263,x_8*x_20*,PRODUCT,True,0.42980730533599854,0.29727182264630153
uniform,0.5,16,20,x_20,LINEAR,False,0.4242304265499115,0.30638993165937606
uniform,0.5,17,319,x_11*x_13*,PRODUCT,True,0.42240118980407715,0.30938070493937814
uniform,0.5,18,300,x_10*x_14,PRODUCT,False,0.4207321107387543,0.3121096229332606
uniform,0.5,19,10,x_10,LINEAR,False,0.41782844066619873,0.31685707778661243
uniform,0.5,20,471,x_20*x_30*,PRODUCT,True,0.41532382369041443,0.3209520871094207
uniform,0.5,21,13,x_13,LINEAR,False,0.4134630262851715,0.3239944615706659
uniform,0.5,22,11,x_11,LINEAR,False,0.40666499733924866,0.33510913186932806
uniform,0.5,23,167,x_4*x_22*,PRODUCT,True,0.40543630719184875,0.33711802091587373
uniform,0.5,24,22,x_22,LINEAR,False,0.40405428409576416,0.3393776069194504
uniform,0.5,25,4,x_4,LINEAR,False,0.40012577176094055,0.345800662736531
uniform,0.5,26,304,x_10*x_18*,PRODUCT,True,0.39868485927581787,0.34815653196403257
uniform,0.5,27,442,x_18*x_24*,PRODUCT,True,0.3967803716659546,0.35127033922197504
uniform,0.5,28,339,x_12*x_14*,PRODUCT,True,0.3952704966068268,0.3537389611722307
uniform,0.5,29,12,x_12,LINEAR,False,0.39148956537246704,0.35992072421356436
uniform,0.5,30,112,x_2*x_22*,PRODUCT,True,0.3902376592159271,0.3619675710695419
lognormal,0.5,1,267,x_8*x_24*,PRODUCT,True,0.515746533870697,0.15688290727592646
lognormal,0.5,2,483,x_22*x_23,PRODUCT,False,0.49112677574157715,0.19713007819069503
lognormal,0.5,3,471,x_20*x_30*,PRODUCT,True,0.47899705171585083,0.21695915504238683
lognormal,0.5,4,300,x_10*x_14,PRODUCT,False,0.47209781408309937,0.22823768973515954
lognormal,0.5,5,332,x_11*x_26*,PRODUCT,True,0.46260368824005127,0.2437582201760952
lognormal,0.5,6,281,x_9*x_16*,PRODUCT,True,0.4558575749397278,0.25478643473387236
lognormal,0.5,7,108,x_2*x_18*,PRODUCT,True,0.45217445492744446,0.2608074183624094
lognormal,0.5,8,339,x_12*x_14*,PRODUCT,True,0.44868990778923035,0.2665037848131583
lognormal,0.5,9,168,x_4*x_23*,PRODUCT,True,0.44561460614204407,0.2715311368431679
lognormal,0.5,10,365,x_13*x_22*,PRODUCT,True,0.44314268231391907,0.2755721164611261
lognormal,0.5,11,482,x_21*x_31*,PRODUCT,True,0.4404650032520294,0.27994945462560233
lognormal,0.5,12,429,x_17*x_24*,PRODUCT,True,0.4382004141807556,0.28365149357030955
