generator,mode,S_tot,S_true,I_recoverable,S_dir_linear_all32,lynn_linear_all32,I_linear_all32,S_dir_interaction_model,lynn_interaction_model,I_interaction_model,S_dir_greedy_n120,lynn_greedy_n120,I_greedy_n120,n_linear_selected,n_product_selected,n_true_pairs_selected
interaction,binary,0.6087632179260254,0.13723447918891907,0.4715287387371063,0.41359296441078186,0.32060125803947614,0.19517025351524353,0.1370057314634323,0.774944136851447,0.4717574864625931,0.19059030711650848,0.6869221045157359,0.4181729108095169,10,110,110
interaction,gaussian,0.6105655431747437,0.020603632554411888,0.5899619106203318,0.6098545789718628,0.0011644355152832162,0.0007109642028808594,0.019793646410107613,0.9675814552075981,0.590771896764636,0.05410539358854294,0.9113847903908688,0.5564601495862007,0,120,112
interaction,uniform,0.6116266846656799,0.30184340476989746,0.30978327989578247,0.6089235544204712,0.004419575392931544,0.0027031302452087402,0.301551878452301,0.506967426352348,0.3100748062133789,0.3206081986427307,0.4758106428630109,0.2910184860229492,28,92,89
interaction,lognormal,0.6117140054702759,0.05032665282487869,0.5613873526453972,0.46753859519958496,0.23569087675187556,0.14417541027069092,0.04960969462990761,0.9189005087569174,0.5621043108403683,0.2152530401945114,0.6481149061986436,0.39646096527576447,19,101,97
interaction,half_normal,0.6109278202056885,0.08315946906805038,0.5277683511376381,0.5159555673599243,0.15545576695752486,0.09497225284576416,0.08333028852939606,0.8636004356433788,0.5275975316762924,0.214396134018898,0.6490647062909745,0.39653168618679047,21,99,99
interaction,exponential,0.6117514371871948,0.03903162479400635,0.5727198123931885,0.45282411575317383,0.2597906793072062,0.158927321434021,0.03865623101592064,0.9368105595408811,0.5730952061712742,0.18401901423931122,0.6991931639990545,0.4277324229478836,21,99,94
interaction,chi2,0.6082364320755005,0.017069997265934944,0.5911664348095655,0.4756494462490082,0.21798593250006812,0.1325869858264923,0.016282273456454277,0.9732303548459045,0.5919541586190462,0.19485241174697876,0.6796436361398495,0.41338402032852173,15,105,105
linear,binary,0.6097777485847473,0.2949128746986389,0.3148648738861084,0.29525652527809143,0.5157964914866741,0.3145212233066559,0.2947081923484802,0.5166957255615215,0.3150695562362671,0.2934808135032654,0.5187085553967583,0.31629693508148193,32,88,19
linear,gaussian,0.6094648241996765,0.03468630835413933,0.5747785158455372,0.03387750685214996,0.9444143361405041,0.5755873173475266,0.03343403711915016,0.9451419740867665,0.5760307870805264,0.03260660916566849,0.9464996044546359,0.576858215034008,32,88,16
linear,uniform,0.6098778247833252,0.12397388368844986,0.48590394109487534,0.12468566000461578,0.7955563312227107,0.4851921647787094,0.12418568879365921,0.7963761203520076,0.485692135989666,0.12358441203832626,0.7973620174135159,0.48629341274499893,32,88,18
linear,lognormal,0.6084622144699097,0.0938505083322525,0.5146117061376572,0.09460960328578949,0.8445103064153079,0.5138526111841202,9.795447112992406e-06,0.9999839013058165,0.6084524190227967,2.497409468560363e-06,0.9999958955389354,0.6084597170604411,26,94,20
linear,half_normal,0.6110526323318481,0.12002767622470856,0.4910249561071396,0.1208346039056778,0.8022517251180822,0.49021802842617035,0.12038039416074753,0.8029950485584819,0.4906722381711006,0.1197836697101593,0.8039716001990682,0.49126896262168884,32,88,19
linear,exponential,0.6078974604606628,0.07660353183746338,0.5312939286231995,0.07667243480682373,0.8738727502682416,0.5312250256538391,0.0763288140296936,0.8744380113516976,0.5315686464309692,9.24103551369626e-06,0.9999847983646671,0.6078882194251491,32,88,17
linear,chi2,0.6095148921012878,0.07298359274864197,0.5365312993526459,0.0733065977692604,0.8797296034613072,0.5362082943320274,0.07286863774061203,0.8804481421456346,0.5366462543606758,0.07205946743488312,0.8817757066009333,0.5374554246664047,32,88,26
