mode,rho,n,feature_idx,label,feat_type,S_dir,lynn_metric
binary,0.5,1,3,x_3,LINEAR,0.5745956301689148,0.05769662552870751
binary,0.5,2,22,x_22,LINEAR,0.5524086356163025,0.09408200463463062
binary,0.5,3,15,x_15,LINEAR,0.5365843176841736,0.12003296458496675
binary,0.5,4,26,x_26,LINEAR,0.5243985652923584,0.14001688892477332
binary,0.5,5,7,x_7,LINEAR,0.5146072506904602,0.15607407471848778
binary,0.5,6,18,x_18,LINEAR,0.5064849853515625,0.1693941169104978
binary,0.5,7,8,x_8,LINEAR,0.4996994137763977,0.18052205916636666
binary,0.5,8,16,x_16,LINEAR,0.493983656167984,0.18989556881259365
binary,0.5,9,19,x_19,LINEAR,0.4872046709060669,0.20101270989826078
binary,0.5,10,2,x_2,LINEAR,0.48100748658180237,0.21117573132475229
binary,0.5,11,20,x_20,LINEAR,0.47453540563583374,0.22178956720346366
binary,0.5,12,12,x_12,LINEAR,0.46793511509895325,0.23261365934555855
binary,0.5,13,17,x_17,LINEAR,0.4613345265388489,0.2434382402283866
binary,0.5,14,29,x_29,LINEAR,0.45456382632255554,0.25454179432167334
binary,0.5,15,23,x_23,LINEAR,0.4477401375770569,0.26573224651730687
binary,0.5,16,21,x_21,LINEAR,0.4404367208480835,0.27770942467102616
binary,0.5,17,13,x_13,LINEAR,0.4333331882953644,0.2893588044150492
binary,0.5,18,4,x_4,LINEAR,0.4256879687309265,0.3018965193155714
binary,0.5,19,27,x_27,LINEAR,0.4182548224925995,0.3140864463104131
binary,0.5,20,24,x_24,LINEAR,0.41014406085014343,0.3273876231101251
binary,0.5,21,31,x_31,LINEAR,0.4020841717720032,0.34060537186669537
binary,0.5,22,6,x_6,LINEAR,0.3934001922607422,0.3548465925924695
binary,0.5,23,25,x_25,LINEAR,0.38517695665359497,0.3683322201448569
binary,0.5,24,0,x_0,LINEAR,0.3759666383266449,0.38343660587937506
binary,0.5,25,28,x_28,LINEAR,0.36653226613998413,0.3989084268970447
binary,0.5,26,10,x_10,LINEAR,0.3567905128002167,0.41488433510684314
binary,0.5,27,30,x_30,LINEAR,0.3459836542606354,0.4326069538227003
binary,0.5,28,11,x_11,LINEAR,0.33571285009384155,0.44945047458191406
binary,0.5,29,5,x_5,LINEAR,0.32536694407463074,0.46641715800587136
binary,0.5,30,9,x_9,LINEAR,0.31524357199668884,0.483018898724416
gaussian,0.5,1,25,x_25,LINEAR,0.434315025806427,0.287382948840811
gaussian,0.5,2,6,x_6,LINEAR,0.3570205271244049,0.41420650881167886
gaussian,0.5,3,15,x_15,LINEAR,0.31123125553131104,0.4893368030878455
gaussian,0.5,4,189,x_5*x_18,PRODUCT,0.2797967493534088,0.5409140310585995
gaussian,0.5,5,4,x_4,LINEAR,0.2553149461746216,0.5810833766987449
gaussian,0.5,6,3,x_3,LINEAR,0.23743708431720734,0.610417082513335
gaussian,0.5,7,332,x_11*x_26,PRODUCT,0.22249893844127655,0.6349273500181856
gaussian,0.5,8,2,x_2,LINEAR,0.21055904030799866,0.6545181412487654
gaussian,0.5,9,376,x_14*x_16,PRODUCT,0.20070667564868927,0.670683741408294
gaussian,0.5,10,12,x_12,LINEAR,0.19203853607177734,0.6849062842569229
gaussian,0.5,11,7,x_7,LINEAR,0.18508891761302948,0.6963091055237184
gaussian,0.5,12,272,x_8*x_29,PRODUCT,0.17872017621994019,0.7067588331211272
gaussian,0.5,13,58,x_0*x_27,PRODUCT,0.1731507033109665,0.7158971339513471
gaussian,0.5,14,82,x_1*x_21,PRODUCT,0.16655968129634857,0.7267115759878878
gaussian,0.5,15,464,x_20*x_23,PRODUCT,0.16090762615203857,0.735985376410631
gaussian,0.5,16,488,x_22*x_28,PRODUCT,0.15422846376895905,0.746944437734392
gaussian,0.5,17,9,x_9,LINEAR,0.14821365475654602,0.756813438821225
gaussian,0.5,18,374,x_13*x_31,PRODUCT,0.14171357452869415,0.7674786650488215
gaussian,0.5,19,505,x_24*x_30,PRODUCT,0.1352130025625229,0.778144698112678
gaussian,0.5,20,424,x_17*x_19,PRODUCT,0.12823016941547394,0.7896020175014031
gaussian,0.5,21,10,x_10,LINEAR,0.12366487830877304,0.7970926731150324
gaussian,0.5,22,21,x_21,LINEAR,0.1210494190454483,0.8013840762600117
gaussian,0.5,23,1,x_1,LINEAR,0.11756019294261932,0.8071091418655795
gaussian,0.5,24,19,x_19,LINEAR,0.11520376056432724,0.8109755378981749
gaussian,0.5,25,17,x_17,LINEAR,0.11150020360946655,0.8170522740900036
gaussian,0.5,26,11,x_11,LINEAR,0.1092037484049797,0.820820260548455
gaussian,0.5,27,26,x_26,LINEAR,0.10508985817432404,0.8275702649249305
gaussian,0.5,28,20,x_20,LINEAR,0.10297016054391861,0.8310482304222648
gaussian,0.5,29,23,x_23,LINEAR,0.09873055666685104,0.8380045037111045
gaussian,0.5,30,29,x_29,LINEAR,0.09639536589384079,0.8418360468622236
uniform,0.5,1,67,x_1*x_6,PRODUCT,0.3961237668991089,0.3504866863460037
uniform,0.5,2,246,x_7*x_26,PRODUCT,0.3273742198944092,0.4632134394938571
uniform,0.5,3,384,x_14*x_24,PRODUCT,0.28997230529785156,0.5245403365815576
uniform,0.5,4,394,x_15*x_18,PRODUCT,0.26623156666755676,0.5634673768272483
uniform,0.5,5,264,x_8*x_21,PRODUCT,0.24951055645942688,0.5908843602436735
uniform,0.5,6,201,x_5*x_30,PRODUCT,0.23717238008975983,0.6111149308076229
