mode,rho,n,S_dir,lynn_metric,phi_direct,input_added
binary,0.5,0,0.6106055378913879,0.0,0.0,-1
binary,0.5,1,0.5380141139030457,0.11888431971813292,0.15354567113539838,24
binary,0.5,2,0.4994816780090332,0.18198960374008433,0.23504963406603338,8
binary,0.5,3,0.4753255248069763,0.2215505832973213,0.2861448261930673,23
binary,0.5,4,0.4610303044319153,0.24496213050409396,0.31638213365888673,22
binary,0.5,5,0.4505462348461151,0.2621320854671704,0.33855807969130547,16
binary,0.5,6,0.44262605905532837,0.2751031040696835,0.3553108672864625,20
binary,0.5,7,0.43700337409973145,0.2843114793736708,0.3672039930533394,30
binary,0.5,8,0.4328891932964325,0.2910493494845553,0.37590632478768254,11
binary,0.5,9,0.4295743703842163,0.29647809637025063,0.38291785150512186,18
binary,0.5,10,0.4268878102302551,0.30087792569908167,0.3886004743167619,9
binary,0.5,11,0.4248165488243103,0.304270068870756,0.39298161474904936,13
binary,0.5,12,0.42314431071281433,0.307008724201775,0.3965187395087052,4
binary,0.5,13,0.4216960072517395,0.3093806376077298,0.3995821967977394,2
binary,0.5,14,0.42032983899116516,0.31161803667438776,0.40247192138128596,14
binary,0.5,15,0.4189527630805969,0.3138732994014893,0.40538471786984287,17
binary,0.5,16,0.4179200530052185,0.31556458782141533,0.4075691103627871,26
binary,0.5,17,0.417147696018219,0.3168294911658342,0.4092028029590916,6
binary,0.5,18,0.4165557622909546,0.3177989119957018,0.4104548635528483,10
binary,0.5,19,0.415914922952652,0.3188484264506732,0.41181036949120053,0
binary,0.5,20,0.4153480529785156,0.31977679990777275,0.413009415133827,25
binary,0.5,21,0.4149872362613678,0.32036771612905995,0.41377261610093063,15
binary,0.5,22,0.4147036671638489,0.32083212249277915,0.4143724225932071,19
binary,0.5,23,0.4144595265388489,0.3212319561166979,0.41488882982229053,1
binary,0.5,24,0.4142690598964691,0.3215438868650457,0.4152917056280855,5
binary,0.5,25,0.4140942096710205,0.3218302423181135,0.41566154952616075,21
binary,0.5,26,0.4139445126056671,0.32207540397496703,0.4159781893591302,28
binary,0.5,27,0.41386139392852783,0.3222115289721728,0.4161540023183482,31
binary,0.5,28,0.4138014614582062,0.322309681488982,0.41628077171992134,12
binary,0.5,29,0.41375669836997986,0.32238299082774247,0.4163754547836522,27
binary,0.5,30,0.41373032331466675,0.32242618574438897,0.41643124340642307,29
binary,0.5,31,0.4137297570705414,0.32242711309288197,0.4164324411282678,7
binary,0.5,32,0.4137294292449951,0.3224276499788516,0.416433134546178,3
gaussian,0.5,0,0.6092268228530884,0.0,0.0,-1
gaussian,0.5,1,0.6098078489303589,-0.0009537105975562388,-0.0009870859566068109,26
gaussian,0.5,2,0.609800398349762,-0.0009414810299839646,-0.0009744284120257838,25
gaussian,0.5,3,0.6097959280014038,-0.0009341432894406,-0.0009668338852771675,4
gaussian,0.5,4,0.60979163646698,-0.00092709905851897,-0.0009595431395984959,2
gaussian,0.5,5,0.6097877621650696,-0.0009207396833813873,-0.0009529612164163619,10
gaussian,0.5,6,0.6097840070724487,-0.0009145759813249611,-0.0009465818139475243,31
gaussian,0.5,7,0.6097816228866577,-0.0009106625197018333,-0.0009425313996815957,13
gaussian,0.5,8,0.6097797751426697,-0.0009076295869439093,-0.000939392328625501,3
gaussian,0.5,9,0.6097782254219055,-0.0009050858368888763,-0.0009367595593526473,19
gaussian,0.5,10,0.6097769141197205,-0.000902933432996156,-0.0009345318315063866,14
gaussian,0.5,11,0.6097761392593384,-0.0009016615579686395,-0.0009332154468699598,20
gaussian,0.5,12,0.6097752451896667,-0.0009001940098599666,-0.0009316965415202365,18
gaussian,0.5,13,0.6097744107246399,-0.0008988242982918719,-0.0009302788965271615,21
gaussian,0.5,14,0.6097738146781921,-0.0008978459328860899,-0.0009292662929606794,30
gaussian,0.5,15,0.6097730994224548,-0.0008966718943991516,-0.0009280511686809008,11
gaussian,0.5,16,0.6097725033760071,-0.0008956935289933696,-0.0009270385651144186,22
gaussian,0.5,17,0.6097720265388489,-0.0008949108366687441,-0.0009262284822612329,1
gaussian,0.5,18,0.6097716093063354,-0.0008942259808846967,-0.0009255196597646953,15
gaussian,0.5,19,0.6097713112831116,-0.0008937367981818057,-0.0009250133579814543,17
gaussian,0.5,20,0.6097711324691772,-0.0008934432885600712,-0.0009247095769115097,5
gaussian,0.5,21,0.6097710728645325,-0.0008933454520194929,-0.0009246083165548614,12
gaussian,0.5,22,0.6097710132598877,-0.0008932476154789148,-0.0009245070561982132,29
gaussian,0.5,23,0.6097710132598877,-0.0008932476154789148,-0.0009245070561982132,6
gaussian,0.5,24,0.6097710132598877,-0.0008932476154789148,-0.0009245070561982132,28
gaussian,0.5,25,0.6097710728645325,-0.0008933454520194929,-0.0009246083165548614,7
gaussian,0.5,26,0.6097711324691772,-0.0008934432885600712,-0.0009247095769115097,8
gaussian,0.5,27,0.6097714304924011,-0.0008939324712629621,-0.0009252158786947507,0
gaussian,0.5,28,0.609771728515625,-0.0008944216539658531,-0.0009257221804779918,27
gaussian,0.5,29,0.609772264957428,-0.0008953021828310569,-0.0009266335236878257,24
gaussian,0.5,30,0.6097733974456787,-0.0008971610771020426,-0.0009285574704641418,16
gaussian,0.5,31,0.609774649143219,-0.0008992156444541847,-0.0009306839379537543,23
gaussian,0.5,32,0.6097761988639832,-0.0009017593945092176,-0.000933316707226608,9
uniform,0.5,0,0.6086252927780151,0.0,0.0,-1
uniform,0.5,1,0.6092649698257446,-0.0010510194947859367,-0.00208381268597669,25
uniform,0.5,2,0.6092610955238342,-0.0010446538344093912,-0.0020711917556199546,10
uniform,0.5,3,0.6092590093612671,-0.0010412261711297127,-0.002064395870043251,2
uniform,0.5,4,0.6092561483383179,-0.0010365253757747253,-0.0020550757983952,3
uniform,0.5,5,0.6092538833618164,-0.0010328039127853602,-0.002047697408340493,31
uniform,0.5,6,0.6092528104782104,-0.00103104111452724,-0.0020442023814724744,4
uniform,0.5,7,0.609251856803894,-0.0010294741827422441,-0.002041095690923124,17
uniform,0.5,8,0.6092512607574463,-0.0010284948503766218,-0.00203915400932978,20
uniform,0.5,9,0.6092504858970642,-0.0010272217183013128,-0.002036629823258433,28
uniform,0.5,10,0.609250009059906,-0.001026438252408815,-0.002035076477983758,1
uniform,0.5,11,0.6092496514320374,-0.0010258506529894414,-0.0020339114690277513,13
uniform,0.5,12,0.6092491149902344,-0.0010249692538603812,-0.0020321639555937417,27
uniform,0.5,13,0.6092488169670105,-0.00102447958767757,-0.00203119311479707,21
uniform,0.5,14,0.6092485189437866,-0.0010239899214947589,-0.0020302222740003983,12
uniform,0.5,15,0.6092483401298523,-0.0010236961217850722,-0.0020296397695223948,14
uniform,0.5,16,0.6092481017112732,-0.0010233043888388232,-0.0020288630968850574,6
uniform,0.5,17,0.6092479825019836,-0.0010231085223656987,-0.0020284747605663887,29
uniform,0.5,18,0.6092479228973389,-0.0010230105891291365,-0.0020282805924070543,5
uniform,0.5,19,0.6092479825019836,-0.0010231085223656987,-0.0020284747605663887,7
uniform,0.5,20,0.6092479228973389,-0.0010230105891291365,-0.0020282805924070543,15
uniform,0.5,21,0.6092479825019836,-0.0010231085223656987,-0.0020284747605663887,8
uniform,0.5,22,0.6092479825019836,-0.0010231085223656987,-0.0020284747605663887,22
uniform,0.5,23,0.6092480421066284,-0.001023206455602261,-0.002028668928725723,19
uniform,0.5,24,0.6092481017112732,-0.0010233043888388232,-0.0020288630968850574,26
uniform,0.5,25,0.6092482209205627,-0.0010235002553119477,-0.002029251433203726,11
uniform,0.5,26,0.6092483997344971,-0.0010237940550216343,-0.002029833937681729,18
uniform,0.5,27,0.6092485189437866,-0.0010239899214947589,-0.0020302222740003983,0
uniform,0.5,28,0.6092487573623657,-0.0010243816544410079,-0.0020309989466377357,30
uniform,0.5,29,0.6092493534088135,-0.0010253609868066302,-0.0020329406282310796,16
uniform,0.5,30,0.6092501282691956,-0.0010266341188819392,-0.0020354648143024266,24
uniform,0.5,31,0.6092516183853149,-0.0010290824497959953,-0.0020403190182857866,9
uniform,0.5,32,0.6092538833618164,-0.0010328039127853602,-0.002047697408340493,23
lognormal,0.5,0,0.6098527908325195,0.0,0.0,-1
lognormal,0.5,1,0.5427477359771729,0.11003484097160648,0.119920848433111,24
lognormal,0.5,2,0.5168007612228394,0.1525811327068839,0.16628968359045632,8
lognormal,0.5,3,0.5024400353431702,0.17612898900195004,0.19195318144941156,23
lognormal,0.5,4,0.4948137402534485,0.18863412992179546,0.20558183847878322,22
lognormal,0.5,5,0.4896743595600128,0.19706137789162081,0.21476622696495776,20
lognormal,0.5,6,0.4859401285648346,0.203184545730339,0.22143952676558093,16
lognormal,0.5,7,0.4831453859806061,0.20776719686556358,0.2264339031590625,11
lognormal,0.5,8,0.48015907406806946,0.21266397188640093,0.2317706256907596,14
lognormal,0.5,9,0.47750940918922424,0.21700873330862563,0.23650573932742205,30
lognormal,0.5,10,0.4759553372859955,0.219557007132391,0.23928296112633105,9
lognormal,0.5,11,0.47470641136169434,0.22160492089629494,0.24151486834695926,10
lognormal,0.5,12,0.4732697606086731,0.22396065456615327,0.24408225134926445,4
lognormal,0.5,13,0.4721091091632843,0.22586382113821138,0.2461564066623951,26
lognormal,0.5,14,0.47117871046066284,0.227389433083598,0.24781908620330217,17
lognormal,0.5,15,0.4703555703163147,0.22873916888332185,0.24929008812264145,18
lognormal,0.5,16,0.4697236716747284,0.22977531834608594,0.2504193297481212,13
lognormal,0.5,17,0.46914204955101013,0.23072902739269746,0.2514587241528216,19
lognormal,0.5,18,0.4685218036174774,0.23174606944424897,0.25256714167437444,2
lognormal,0.5,19,0.46795663237571716,0.23267280332208978,0.25357713734411924,21
lognormal,0.5,20,0.46750348806381226,0.23341584216476902,0.2543869340198453,28
lognormal,0.5,21,0.4671136438846588,0.2340550852493522,0.25508360947628544,0
lognormal,0.5,22,0.46669912338256836,0.23473479108709147,0.2558243830351591,31
lognormal,0.5,23,0.4663254916667938,0.23534744994737888,0.2564920858252661,6
lognormal,0.5,24,0.46593061089515686,0.23599495173399512,0.2571977619813576,12
lognormal,0.5,25,0.465587854385376,0.23655698328477803,0.2578102888848449,25
lognormal,0.5,26,0.46536141633987427,0.2369282827998505,0.2582149475591078,15
lognormal,0.5,27,0.4651733636856079,0.23723664025445795,0.2585510091851408,1
lognormal,0.5,28,0.46498236060142517,0.23754983564694274,0.25889234341037776,29
lognormal,0.5,29,0.46490439772605896,0.2376776744902475,0.25903166784995024,3
lognormal,0.5,30,0.4648352563381195,0.23779104838797954,0.2591552277504885,7
lognormal,0.5,31,0.4648071229457855,0.23783717983602226,0.2592055038479489,5
lognormal,0.5,32,0.46480587124824524,0.23783923229451567,0.2592077407082173,27
half_normal,0.5,0,0.6102631092071533,0.0,0.0,-1
half_normal,0.5,1,0.5790111422538757,0.05121064419882725,0.059392283987733094,24
half_normal,0.5,2,0.5613530278205872,0.0801458922367265,0.09295035566615505,23
half_normal,0.5,3,0.5498687028884888,0.09896453743882415,0.11477555114246912,8
half_normal,0.5,4,0.5419009923934937,0.11202072644121472,0.12991765484295834,22
half_normal,0.5,5,0.5361306667327881,0.12147619830842672,0.1408837748588502,16
half_normal,0.5,6,0.5317200422286987,0.12870361290640167,0.14926587328810303,20
half_normal,0.5,7,0.5284755825996399,0.13402010603880485,0.15543175295781736,4
half_normal,0.5,8,0.5260007381439209,0.13807547890729477,0.16013503019343192,11
half_normal,0.5,9,0.5240983963012695,0.14119272753981144,0.16375030430175963,9
half_normal,0.5,10,0.5225072503089905,0.1438000389900255,0.16677417140045017,30
half_normal,0.5,11,0.521294355392456,0.14578753405278655,0.16907919749489686,0
half_normal,0.5,12,0.5202960968017578,0.14742331798866165,0.17097632153194012,13
